vertex,louvain,id,original_id,type,name,followers,num_artists,num_albums,collaborative
1600,3,1600,pl_311515,playlist,dinner party,6,21,29,False
1601,0,1601,pl_155425,playlist,Rap/Hip-Hop,2,59,84,False
1602,0,1602,pl_868870,playlist,jams,3,119,148,False
1603,3,1603,pl_476449,playlist,Alt Jams,1,25,39,False
1604,3,1604,pl_986694,playlist,EASY LISTENING,1,28,39,False
1605,3,1605,pl_922264,playlist,2014,134,15,17,False
1606,3,1606,pl_598916,playlist,Summer 2011,464,112,139,False
1607,0,1607,pl_139668,playlist,Rap,26,73,140,False
1608,3,1608,pl_6904,playlist,September 2015,10,15,15,False
1609,3,1609,pl_47815,playlist,farewell,20,73,88,False
1610,0,1610,pl_574098,playlist,Magic,1,47,58,False
1611,2,1611,pl_184621,playlist,DubStep,1,46,61,False
1612,0,1612,pl_682013,playlist,Calm Down,1,17,48,False
1613,1,1613,pl_337191,playlist,rock,1,31,38,False
1614,0,1614,pl_470163,playlist,Body Like A Back Road,1,8,8,False
1615,0,1615,pl_13683,playlist,Heart Eyes,25,40,49,False
544,1,544,pl_809447,playlist,pissed off,1,18,26,False
545,3,545,pl_744340,playlist,Relaxing,2,10,10,False
546,2,546,pl_634008,playlist,September ,18,92,110,False
547,1,547,pl_931734,playlist,throwbackkkk,74,53,83,False
548,1,548,pl_29433,playlist,Country rap,14,51,91,False
549,0,549,pl_153536,playlist,Hip Hop Mix,18,70,118,False
550,2,550,pl_485662,playlist,August 2016,45,109,115,False
551,2,551,pl_48686,playlist,Dance Party,1,11,11,False
552,4,552,pl_533153,playlist,Christmas Music,13,31,38,False
553,0,553,pl_989204,playlist,chill vibes,1,19,20,False
554,2,554,pl_818864,playlist,Corridos perrones,21,11,20,False
555,3,555,pl_269011,playlist,Revolution,2,110,142,False
556,3,556,pl_286308,playlist,Twenty One Pilots — Stressed Out,10,84,118,False
557,2,557,pl_570633,playlist,Latinas,14,104,155,False
558,0,558,pl_353185,playlist,rap,18,93,135,False
559,2,559,pl_596430,playlist,kpop,13,19,21,False
784,0,784,pl_89250,playlist,Kehlani,1,12,15,False
785,1,785,pl_328822,playlist,old school,14,45,83,False
786,3,786,pl_299243,playlist,Simp,20,42,55,False
787,2,787,pl_684010,playlist,Vocal Trance,10,87,121,False
788,2,788,pl_809779,playlist,Universal,2,100,117,False
789,1,789,pl_822815,playlist,Instrumental,22,13,25,False
790,0,790,pl_295712,playlist,Work,1,22,51,False
791,0,791,pl_649359,playlist,bops,1,29,34,False
792,2,792,pl_16404,playlist,party ,1,68,76,False
793,3,793,pl_181924,playlist,Beans,1,59,70,False
794,3,794,pl_913767,playlist,NOW,1,61,63,False
795,2,795,pl_391867,playlist,Spanish,22,39,55,False
796,0,796,pl_86159,playlist,v i b e s,13,22,25,False
797,0,797,pl_107755,playlist,The Game,1,13,16,False
798,1,798,pl_299942,playlist,R. Kelly,1,11,26,False
799,2,799,pl_576484,playlist,Spanish,1,4,8,False
864,0,864,pl_658051,playlist,That Playlist,1,27,35,False
865,2,865,pl_683853,playlist,Pool,20,71,81,False
866,1,866,pl_127368,playlist,Workout,1,51,76,False
867,0,867,pl_948255,playlist,Slow Jamz,10,27,29,False
868,3,868,pl_757161,playlist,weird,14,65,71,False
869,2,869,pl_24049,playlist,Getting ready ,1,86,91,False
870,1,870,pl_568353,playlist,No Words,1,5,5,False
871,0,871,pl_304319,playlist,Baby making music,17,47,64,False
872,3,872,pl_389949,playlist,bad mood,1,15,18,False
873,0,873,pl_9117,playlist,new stuff,1,37,41,False
874,2,874,pl_971899,playlist,best edm,16,137,212,False
875,3,875,pl_890647,playlist,songssss,1,23,32,False
876,3,876,pl_829000,playlist,Rumba,10,13,13,False
877,1,877,pl_403498,playlist,Raggae,11,40,63,False
878,0,878,pl_375524,playlist,the hits,2,23,25,False
879,2,879,pl_338040,playlist,Party,19,182,215,False
3488,0,3488,pl_974593,playlist,Solo,1,4,5,False
3489,3,3489,pl_295685,playlist,Fall 2017,31,9,9,False
3490,1,3490,pl_434573,playlist,Workout,1,71,78,False
3491,4,3491,pl_137794,playlist,Christmas Time Is Here,1,12,16,False
3492,3,3492,pl_536918,playlist,Space,1,10,12,False
3493,1,3493,pl_888950,playlist,Rage,34,16,18,False
3494,0,3494,pl_255916,playlist,The Feels,10,37,45,False
3495,2,3495,pl_749556,playlist,Emily's Playlist,14,113,145,False
3496,3,3496,pl_912326,playlist,Life is Beautiful,1,9,9,False
3497,45,3497,pl_281290,playlist,Hymns,47,12,20,False
3498,3,3498,pl_676919,playlist,Zion,25,31,35,False
3499,2,3499,pl_218354,playlist,Hype,1,16,23,False
3500,1,3500,pl_311334,playlist,Jackson,23,7,10,False
3501,0,3501,pl_187481,playlist,Rap,1,39,56,False
3502,1,3502,pl_531220,playlist,country party,1,23,32,False
3503,1,3503,pl_366069,playlist,Dancehall,235,31,50,False
1920,1,1920,pl_27960,playlist,Country,10,66,136,False
1921,1,1921,pl_350767,playlist,My Music !,1,9,12,False
1922,2,1922,pl_906823,playlist,Latin,1,51,70,False
1923,3,1923,pl_352814,playlist,Jacob,42,21,21,False
1924,3,1924,pl_768319,playlist,Chill,12,123,173,False
1925,1,1925,pl_330086,playlist,Neil Diamond,79,4,18,False
1926,1,1926,pl_931577,playlist,Ska,11,43,114,False
1927,2,1927,pl_297962,playlist,August 2015,18,39,44,False
1928,3,1928,pl_215758,playlist,Vera,1,33,33,False
1929,3,1929,pl_576495,playlist,Alternative,114,14,17,False
1930,4,1930,pl_492219,playlist,Christian pop,11,12,25,False
1931,4,1931,pl_336489,playlist,My mix,14,44,52,False
1932,4,1932,pl_572705,playlist,God!,1,63,86,False
1933,1,1933,pl_176770,playlist,Musical Theatre,2,96,50,False
1934,3,1934,pl_872983,playlist,Starbucks ,12,105,131,False
1935,2,1935,pl_636686,playlist,Chillout,20,101,108,True
1936,1,1936,pl_367807,playlist,new ,14,19,22,False
1937,1,1937,pl_912083,playlist,Hit the Road,35,19,19,False
1938,0,1938,pl_995921,playlist,2015 Favorites,10,25,25,False
1939,1,1939,pl_124191,playlist,chill ,2,28,40,False
1940,0,1940,pl_386264,playlist,groovy,14,81,93,False
1941,1,1941,pl_996272,playlist,country summer,15,87,142,False
1942,1,1942,pl_846656,playlist,songs i like,1,76,99,False
1943,1,1943,pl_427431,playlist,JAZZ,27,61,118,False
