feature,spearman_rho,kendall_tau
degree_x,-0.003347502645138569,0.0007612174145416684
degree_centrality_nx,-0.003347502645138569,0.0007612174145416684
degree_y,-0.003347502645138569,0.0007612174145416684
pagerank,0.012707816024073386,0.011832950801415651
betweenness_centrality,0.04899958749620504,0.037154253881433494
eigenvector_centrality,-0.012613355490996169,-0.00602243088018631
katz_centrality,-0.005213045376083676,-0.0006012542946347827
closeness_igraph,0.008817213841076168,0.009160222842542807
eigenvector_igraph,-0.01263469544294993,-0.006044312791756222
clustering_igraph,-0.11916964747409951,-0.08569491122269239
