id,original_id,type,name,followers,num_artists,num_albums,collaborative
0,pl_516,playlist,smooth jams,13,140,171,false
1,pl_765,playlist,Tangled,1038,59,37,false
2,pl_924,playlist,mine,1,40,56,false
3,pl_1393,playlist,Class,1,23,47,false
4,pl_1494,playlist,2015,1,17,27,false
5,pl_1721,playlist,DUB,1,9,13,false
6,pl_1767,playlist,Good Music,15,144,172,false
7,pl_1824,playlist,getting ready,10,106,138,false
8,pl_1899,playlist,Classics,1,7,21,false
9,pl_1923,playlist,Childhood Jams,23,51,64,false
10,pl_10241,playlist,CAR,1,49,71,false
11,pl_10799,playlist,Bryson Tiller,11,9,10,false
12,pl_100013,playlist,becky g,10,4,10,false
13,pl_100115,playlist,Get Lucky,1,132,144,false
14,pl_100286,playlist,Slow Jamz,1,71,102,false
15,pl_100432,playlist,Writing Music,823,59,74,false
16,pl_100628,playlist,the hills,1,5,5,false
17,pl_100819,playlist,Dance!,74,8,6,false
18,pl_100860,playlist,🔥🔥,2,10,10,false
19,pl_101023,playlist,Latin,21,21,33,false
20,pl_101516,playlist,get swole,1,32,41,false
21,pl_103010,playlist,70s ROCK,39,23,25,false
22,pl_103204,playlist,Guaco,24,19,33,false
23,pl_103299,playlist,Christmas 2017,13,6,6,false
24,pl_103468,playlist,First Playlist,1,7,9,false
25,pl_103675,playlist,chill,1439,4,6,false
26,pl_104076,playlist,Always Good,28,34,50,false
27,pl_104481,playlist,Chill 2.0,2,69,94,false
28,pl_104593,playlist,beach ,1,93,115,false
29,pl_104722,playlist,Summer 2017,28,70,75,false
30,pl_104892,playlist,2014,10,61,72,false
31,pl_104970,playlist, Doctor Who ,20,5,7,false
32,pl_105485,playlist,REGUE,2,8,12,false
33,pl_105714,playlist,17,1,6,6,false
34,pl_105828,playlist,Stay Strong,11,63,76,false
35,pl_105881,playlist,Folk You,36,53,66,false
36,pl_105987,playlist,The Secret Life Of Walter Mitty,1,9,8,false
37,pl_106160,playlist,Get hyped,1,119,170,false
38,pl_106256,playlist,lit ,3,29,34,false
39,pl_106284,playlist,regeton,1,13,15,false
40,pl_106715,playlist,jamz,11,59,63,false
41,pl_107106,playlist,Breeze,2,35,35,false
42,pl_107244,playlist,August,12,25,29,false
43,pl_107374,playlist,Heal,12,18,18,false
44,pl_107482,playlist,christmas & chill,2,5,12,false
45,pl_107488,playlist,Indie jams,15,43,43,false
46,pl_107603,playlist,March 2016,37,11,11,false
47,pl_107755,playlist,The Game,1,13,16,false
48,pl_107851,playlist,fall.,10,30,30,false
49,pl_108499,playlist,PARTAY,1,7,8,false
50,pl_108693,playlist,Rap,11,55,122,false
51,pl_109819,playlist,sleep,11,28,39,false
52,pl_109920,playlist,December,1,20,20,false
53,pl_109953,playlist,Orchestral,28,64,105,false
54,pl_11001,playlist,Crowd Pleasers,1,38,52,false
55,pl_11468,playlist,hype,21,34,49,false
56,pl_11486,playlist,Jill Scott,11,4,9,false
57,pl_11676,playlist,chill,10,50,85,false
58,pl_11743,playlist,waves,1,6,8,false
59,pl_11859,playlist,This is it,83,66,103,false
60,pl_11973,playlist,Life is Beautiful,14,28,29,false
61,pl_110293,playlist,Bass boosted,11,50,62,false
62,pl_110986,playlist,2017,81,34,37,false
63,pl_111001,playlist,ZZ Top,1,7,27,false
64,pl_111341,playlist,Meditate,1,6,10,false
65,pl_111437,playlist,Classical,1,13,16,false
66,pl_111572,playlist,cools,11,101,149,false
67,pl_112095,playlist,Matt's Playlist,1,35,49,false
68,pl_112163,playlist,VDAY,3,53,75,false
69,pl_112615,playlist,Victor,1,61,67,false
70,pl_113082,playlist,Coffee,11,57,73,false
71,pl_113131,playlist,yikes,1,31,31,false
72,pl_113247,playlist,CHRISTMAS TIME!!,13,87,107,false
73,pl_113585,playlist,For You,13,69,75,false
74,pl_113618,playlist,Coming down,14,26,44,false
75,pl_113805,playlist,90s,15,75,91,false
76,pl_114180,playlist,party songs ,2,47,55,false
77,pl_114223,playlist,chill,14,159,173,false
78,pl_114345,playlist,Rock,1,40,61,false
79,pl_114648,playlist,EDM,2,54,92,false
80,pl_114767,playlist,CHICANO RAP,15,31,44,false
81,pl_115818,playlist,Car ride,1,21,24,false
82,pl_116376,playlist,trill,12,77,120,false
83,pl_116710,playlist,Alternative,1,18,32,false
84,pl_116823,playlist,Chill Summer,1,29,37,false
85,pl_117513,playlist,Jan,13,138,151,false
86,pl_117703,playlist,getting ready ,86,60,113,false
87,pl_117710,playlist,The Mix,38,28,32,false
88,pl_118032,playlist,Jesus Music,11,27,49,false
89,pl_118220,playlist,5FDP,36,6,28,false
90,pl_118504,playlist,ROLLING,858,61,65,false
91,pl_118510,playlist,good vibes,3,102,133,false
92,pl_118714,playlist,Jay,1,134,156,false
93,pl_119136,playlist,Trap,10,78,109,false
94,pl_119462,playlist,Hyped,1,41,56,false
95,pl_12020,playlist,👌🏻,4,67,99,false
96,pl_12120,playlist,AAA,1,25,30,false
97,pl_12338,playlist,Advent,8,13,13,false
98,pl_12367,playlist,alt,1,82,98,false
99,pl_120092,playlist,Half Marathon!!,13,61,73,false
100,pl_120374,playlist,me gusta,1,65,87,false
101,pl_120952,playlist,Summer Jams,1,20,22,false
102,pl_121616,playlist,Espanol,20,75,115,false
103,pl_121902,playlist,( ͡° ͜ʖ ͡°),1,18,27,false
104,pl_122478,playlist,Tobuscus,22,5,13,false
105,pl_122641,playlist,Orchestral,1,7,13,false
106,pl_123020,playlist,girl power,1,34,48,false
107,pl_123274,playlist,spanish,12,28,60,false
108,pl_123373,playlist,Drunk,1,13,13,false
109,pl_123998,playlist,Club music ,6,142,186,false
110,pl_124145,playlist,basketball,3,37,49,false
111,pl_124186,playlist,JULY 2015,12,25,25,false
112,pl_124191,playlist,chill ,2,28,40,false
113,pl_124210,playlist,equilibrium,10,54,66,false
114,pl_124220,playlist,Various Artists – Fifty Shades Of Grey (Original Motion Picture Soundtrack),16,60,74,false
115,pl_124414,playlist,tap,21,38,43,false
116,pl_124550,playlist,oscar,1,28,33,false
117,pl_124759,playlist,Old School Dance,1,41,59,false
118,pl_124987,playlist,vibes,19,120,135,false
119,pl_125209,playlist,Ballads,11,64,73,true
120,pl_125224,playlist,soccer,1,16,18,false
121,pl_125360,playlist,Dance Mix,3,45,50,false
122,pl_125543,playlist,Old School Reggaeton,20,21,27,false
123,pl_126024,playlist,Spanish Trap,11,38,66,false
124,pl_126283,playlist,Indie/Alt,7,61,81,false
125,pl_126738,playlist,Let The Good Times Roll,120,19,20,false
126,pl_126769,playlist,BYE,1916,52,60,false
127,pl_126855,playlist,chillout,1,12,12,false
128,pl_127307,playlist,everything,12,76,101,false
129,pl_127339,playlist,SUMMERTIME,13,99,144,false
130,pl_127368,playlist,Workout,1,51,76,false
131,pl_127539,playlist,dance dance dance ,2,37,44,false
132,pl_127681,playlist,MARCH 17,236,34,35,false
133,pl_127959,playlist,Old Rock,12,34,63,false
