id,original_id,type,name,followers,num_artists,num_albums,collaborative,degree_x,degree_centrality_nx,degree_y,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality,closeness_igraph,eigenvector_igraph,clustering_igraph
0,pl_37,playlist,Hits,1,55,69,False,729,0.0364518225911295,1458,4.686961e-05,2.0474535631365143e-06,0.0073284735,0.0071590017,0.4612142061146373,0.2180121592142299,0.6475150364039253
1,pl_89,playlist,80's,1,82,85,False,749,0.0374518725936296,1498,6.427216e-05,1.4574356100638395e-05,0.0020954378,0.0071230642,0.4582500902635696,0.0622707991132678,0.5483710901522886
2,pl_96,playlist,christmas,1,10,12,False,153,0.0076503825191259,306,4.2389816e-05,4.09662652600673e-06,3.6313784e-05,0.006738241,0.3597981592425301,0.0010797735964258,0.8325593395252838
3,pl_177,playlist,Another,1,21,23,False,7,0.000350017500875,14,8.382747e-06,1.1146668033035212e-09,2.7841872e-05,0.0066541913,0.3441058453529986,0.0008284814739607,0.6190476190476191
4,pl_193,playlist,🔥🔥🔥🔥,1,12,13,False,166,0.008300415020751,332,1.6400694e-05,1.477698852170306e-08,0.0019221541,0.0067687845,0.420181420909753,0.0571848831186492,0.924936108068638
5,pl_205,playlist,running ,1,40,44,False,337,0.0168508425421271,674,2.7715834e-05,4.762577248129674e-07,0.0029740501,0.006886819,0.4566453191336259,0.0884415013429399,0.7069203052140738
6,pl_301,playlist,Music From Baz Luhrmann's Film The Great Gatsby,1,18,8,False,12,0.0006000300015,24,1.0164919e-05,6.173894284700054e-09,3.3062992e-05,0.0066571385,0.3593906329639628,0.0009831518867467,0.712121212121212
7,pl_425,playlist,Phone,1,7,10,False,0,0.0,0,7.810017e-06,0.0,7e-45,0.006649862,,0.0,0.0
8,pl_561,playlist,chillen,1,27,36,False,317,0.0158507925396269,634,2.514721e-05,7.601377660648723e-07,0.0029632654,0.006867222,0.4256774885967266,0.0881620564812846,0.764265463402947
9,pl_569,playlist,Relaxing Music,1,19,20,False,87,0.0043502175108755,174,1.4634316e-05,1.5905202133126298e-07,0.00030674165,0.00670487,0.4144461859979101,0.0091200322118663,0.619620422346966
10,pl_599,playlist,Sunny Days,1,15,15,False,6,0.00030001500075,12,8.300462e-06,0.0,1.34329775e-05,0.00665358,0.3427429517877075,0.0003992360582717,0.8
11,pl_672,playlist,Chill,1,43,56,False,509,0.0254512725636281,1018,5.7520418e-05,0.0001170456598629,0.0012607019,0.0069682547,0.4552802754926344,0.037467518648957,0.3975913865383723
12,pl_708,playlist,pop,3,38,42,False,955,0.0477523876193809,1910,6.432544e-05,1.241537665919168e-05,0.0074928226,0.0072990074,0.4723483438779308,0.2228350945273946,0.5877309098093451
13,pl_716,playlist,Rave,1,31,34,False,513,0.0256512825641282,1026,3.728164e-05,1.1393027534722933e-06,0.0042416365,0.0070022848,0.4539125458967145,0.1261440855725496,0.6221445540935673
14,pl_754,playlist,L O V E ,1,51,67,False,1232,0.0616030801540077,2464,8.2828396e-05,3.921728057321161e-05,0.009869174,0.0074820328,0.4779934218785307,0.2935774904679337,0.4232951248588941
15,pl_884,playlist,Songs I Love,2,36,38,False,551,0.0275513775688784,1102,4.5636203e-05,2.04418356588576e-05,0.0037881937,0.0070228768,0.4682934028631869,0.1126445058042823,0.567226530275532
16,pl_909,playlist,Awesome,1,6,10,False,14,0.00070003500175,28,8.691721e-06,0.0,0.00010261113,0.0066594705,0.3846604570343281,0.0030508980577691,0.978021978021978
17,pl_1049,playlist,a playlist,1,62,76,True,7,0.000350017500875,14,8.914827e-06,1.3758664429985856e-08,4.4008284e-06,0.0066539296,0.331545400717495,0.000130837116918,0.1428571428571428
18,pl_1055,playlist,funky,1,18,21,False,49,0.0024501225061253,98,1.4797518e-05,3.736094242867694e-07,9.858718e-05,0.006679644,0.3888559815355706,0.0029313191975451,0.5595238095238095
19,pl_1139,playlist,Christmas ,1,7,9,False,23,0.0011500575028751,46,1.3062946e-05,2.529960463348857e-09,5.115763e-07,0.0066630943,0.2820068435319735,1.5206683744594642e-05,0.9604743083003952
20,pl_1206,playlist,wes,1,26,55,False,354,0.0177008850442522,708,3.476907e-05,1.4818134332017507e-05,0.00078403926,0.0068691885,0.4291510752445787,0.0233082490691198,0.5626030313215217
