vertex,louvain,id,original_id,type,name,followers,num_artists,num_albums,collaborative
3248,1,3248,pl_242097,playlist,After Hours,7,38,41,False
3249,4,3249,pl_242119,playlist,Baby makin,1,22,31,False
3250,5,3250,pl_242155,playlist,Summer Country,3,51,89,False
3251,0,3251,pl_242169,playlist,⛵️,2,49,81,False
3252,2,3252,pl_242221,playlist,Bali,7,137,161,True
3253,5,3253,pl_242227,playlist,Wedding ,1,44,82,False
3254,171,3254,pl_242263,playlist,Chill,1,6,6,False
3255,2,3255,pl_242265,playlist,Good Stuff,1,98,135,False
3256,5,3256,pl_242295,playlist,Good Country,1,10,12,False
3257,5,3257,pl_242422,playlist,shower mix,1,73,82,False
3258,4,3258,pl_242448,playlist,Prom 2017,1,65,81,False
3259,0,3259,pl_242455,playlist,chillen,1,73,97,False
3260,3,3260,pl_242483,playlist,the best of the best ,1,22,29,False
3261,1,3261,pl_242565,playlist,Afterhours,1,29,31,False
3262,2,3262,pl_242626,playlist,ya know,1,20,26,False
3263,1,3263,pl_242639,playlist,camp 2016,2,18,22,False
3296,4,3296,pl_244060,playlist,Quiet storm,2,39,55,False
3297,0,3297,pl_244062,playlist,2K16,1,72,104,False
3298,2,3298,pl_244070,playlist,New,1,22,35,False
3299,4,3299,pl_244230,playlist,Run,1,14,20,False
3300,0,3300,pl_244240,playlist,party playlist,1,67,74,False
3301,2,3301,pl_244246,playlist,Cry.,1,52,60,False
3302,2,3302,pl_244293,playlist,Chill,1,32,49,False
3303,9,3303,pl_244297,playlist,my music,1,34,67,False
3304,0,3304,pl_244316,playlist,summer,1,16,18,False
3305,2,3305,pl_244325,playlist,Emotional Songs,1,41,55,False
3306,0,3306,pl_244471,playlist,bravo,3,41,44,False
3307,0,3307,pl_244520,playlist,Brian,1,17,31,False
3308,1,3308,pl_244555,playlist,alternate ,1,30,43,False
3309,2,3309,pl_244568,playlist,hopeless romantic ,24,133,170,False
3310,3,3310,pl_244602,playlist,oldies,1,14,49,False
3311,4,3311,pl_244656,playlist,Running,1,50,52,False
544,50,544,pl_124514,playlist,Synthwave,1,4,4,False
545,0,545,pl_124556,playlist,ayo ,4,55,77,False
546,0,546,pl_124576,playlist,Pump up songs,1,13,16,False
547,0,547,pl_124628,playlist,Hiphop,2,44,84,False
548,0,548,pl_124751,playlist,vibez,1,33,39,False
549,4,549,pl_124824,playlist,Ipod,1,45,74,False
550,4,550,pl_124959,playlist,Go,2,16,19,False
551,0,551,pl_124974,playlist,Mood,2,14,15,False
552,0,552,pl_125094,playlist,playlist,1,9,10,False
553,7,553,pl_125156,playlist,Musicals,1,22,15,False
554,1,554,pl_125170,playlist,Dead ,1,25,31,False
555,2,555,pl_125216,playlist,PANIC,1,3,12,False
556,5,556,pl_125271,playlist,country,1,44,80,False
557,1,557,pl_125277,playlist,1D,1,4,11,False
558,0,558,pl_125310,playlist,Chicken,4,53,85,False
559,2,559,pl_125353,playlist,feels,7,47,65,False
3200,3,3200,pl_24375,playlist,Punk rock ,1,4,6,False
3201,6,3201,pl_24380,playlist,Worship favorites,2,65,80,False
3202,3,3202,pl_24482,playlist,The 90s,1,10,17,False
3203,2,3203,pl_24517,playlist,16,1,38,38,False
3204,4,3204,pl_24525,playlist,throwback,1,58,67,False
3205,5,3205,pl_24538,playlist,country,1,21,32,False
3206,8,3206,pl_24677,playlist,christmas mix,2,15,15,False
3207,2,3207,pl_24782,playlist,Summer 2017,2,15,25,False
3208,3,3208,pl_24808,playlist,Jazz,2,53,77,False
3209,2,3209,pl_24817,playlist,evening chill,1,30,32,False
3210,3,3210,pl_24880,playlist,top hits,1,34,75,False
3211,4,3211,pl_24936,playlist,Werk,2,30,37,False
3212,2,3212,pl_240003,playlist,mellow,1,94,129,False
3213,4,3213,pl_240067,playlist,Lit playlist,1,158,208,False
3214,3,3214,pl_240102,playlist,Rock,1,40,60,False
3215,4,3215,pl_240157,playlist,Gangsta,1,4,6,False
560,2,560,pl_125354,playlist,Summer Beats,1,28,33,False
561,3,561,pl_125359,playlist,memory lane,1,52,74,False
562,0,562,pl_125369,playlist,workout,1,27,38,False
563,1,563,pl_125401,playlist,PS,1,54,62,False
564,3,564,pl_125434,playlist,Wedding Playlist,1,27,30,False
565,2,565,pl_125477,playlist,Driving Music,2,135,160,False
566,3,566,pl_125531,playlist,Alt,30,63,83,False
567,2,567,pl_125557,playlist,local,1,27,45,False
568,4,568,pl_125610,playlist,*90s Hip Hop,1,10,11,False
569,2,569,pl_125641,playlist,Beautiful,2,16,17,False
570,0,570,pl_125680,playlist,Hip Hop,1,48,63,False
571,3,571,pl_125710,playlist,Mix,1,17,25,False
572,0,572,pl_125726,playlist,mexico,3,32,39,False
573,1,573,pl_125782,playlist,lucy,2,62,69,False
574,51,574,pl_125890,playlist,👍🏼,1,9,11,False
575,0,575,pl_125897,playlist,Running,1,72,90,False
592,2,592,pl_126734,playlist,stay,1,48,53,False
593,2,593,pl_126757,playlist,For Dad,1,35,35,False
594,1,594,pl_127047,playlist,EDM,3,18,22,False
595,3,595,pl_127146,playlist,Italian ,1,10,28,False
596,3,596,pl_127316,playlist,60's ,1,25,28,False
597,53,597,pl_127359,playlist,Dancehall,1,26,42,False
598,3,598,pl_127405,playlist,MOJO,1,27,38,False
599,4,599,pl_127450,playlist,Flash Back,1,27,30,True
600,4,600,pl_127498,playlist,2000s Pop,1,39,55,False
601,0,601,pl_127537,playlist,Rainy Days ,1,87,96,False
602,1,602,pl_127591,playlist,Wub Wub Wub,1,31,41,False
603,3,603,pl_127653,playlist,Black Metal,2,28,50,False
604,4,604,pl_127663,playlist,pregame ,2,57,68,False
605,0,605,pl_127670,playlist,Hip hop,1,9,11,False
606,3,606,pl_127687,playlist,Music,3,57,76,False
607,3,607,pl_127699,playlist,blink,1,3,15,False
944,5,944,pl_142840,playlist,At Home,1,28,31,False
945,4,945,pl_142866,playlist,Chilling,1,78,98,False
946,0,946,pl_143026,playlist,the goodies,2,147,172,False
947,3,947,pl_143046,playlist,Crunchy,2,113,152,False
948,6,948,pl_143051,playlist,Hymns,1,8,11,False
949,3,949,pl_143068,playlist,Slow Dance,1,30,38,False
