degree,id,pagerank,betweenness_centrality,eigenvector_centrality,katz_centrality
628,7952,2.6650938e-05,4.066928340762388e-07,0.0026092303,0.006865457
1996,7953,6.1084225e-05,8.855064152157865e-06,0.009277702,0.00733014
3892,7954,0.00011008039,2.9982438718434423e-05,0.017678354,0.007972067
1482,7955,6.4659274e-05,2.0358258552732877e-05,0.0017277496,0.0071144183
1618,7956,4.825108e-05,3.7923280160612194e-07,0.008382017,0.0072096204
634,7957,3.957457e-05,7.694437954341993e-06,0.00050935487,0.006843504
308,7958,2.8968496e-05,1.9238875665905653e-06,0.0004128431,0.006743075
2038,7959,8.279053e-05,3.138814645353705e-05,0.0029176727,0.0072831362
8022,7960,0.00026928275,0.000961005745921284,0.023510829,0.0092528425
70,7961,1.106204e-05,3.891538256084459e-07,0.0002646649,0.006673915
2276,7962,7.555729e-05,3.49360634572804e-05,0.009234681,0.00742208
562,7963,2.212679e-05,1.4033399509116862e-07,0.0032085278,0.0068488335
740,7964,2.6453663e-05,2.0831866720527614e-07,0.0037001295,0.0069044805
2,7965,8.001623e-06,0.0,2.321811e-07,0.0066504353
320,7966,3.7086265e-05,4.26410724685411e-06,9.226021e-05,0.0067429612
308,7967,3.0197909e-05,2.1289379219524562e-06,0.00036692104,0.006742312
14,12801,1.4148144e-05,4.494442691793665e-05,6.2829263e-06,0.0066539817
1476,12802,6.732787e-05,2.929772381321527e-05,0.0015944001,0.0071105673
5338,12803,0.00018447617,0.00032276479760184884,0.014289536,0.008390742
4862,12804,0.00014292797,0.0001776754215825349,0.019382052,0.008270549
406,12805,2.2758617e-05,4.5045942442811793e-07,0.00068253675,0.0067811445
2530,12806,8.537798e-05,1.6258292816928588e-05,0.0079720905,0.007491887
52,12807,1.185929e-05,1.20618821597418e-07,6.0038936e-05,0.00666578
1220,12808,4.5109686e-05,3.4946669984492473e-06,0.004747506,0.007062971
1996,12809,6.202494e-05,8.368117050849833e-06,0.009782122,0.0073445565
2938,12810,0.00011460753,0.00013681563723366708,0.006615547,0.0076006777
4128,12811,0.00015503497,0.00022720303968526423,0.00896708,0.007977038
1798,12812,5.9925802e-05,2.013464290939737e-05,0.0070858994,0.0072475136
236,12813,1.6641092e-05,8.657440275783301e-07,0.00047450294,0.0067261723
222,12814,2.9547171e-05,6.125601794337854e-05,0.00017523307,0.006717184
252,12815,5.293781e-05,5.647992566082394e-06,6.0000407e-06,0.006721959
112,12800,1.3902268e-05,8.467701917425074e-08,7.880215e-05,0.006683761
5370,13968,0.00019068361,0.0005968976183794439,0.014552951,0.00839461
136,13969,2.3642204e-05,2.4444525479339063e-05,7.367865e-05,0.0066897906
570,13970,4.1836254e-05,5.9202440752414986e-05,0.0009409639,0.006825305
3344,13971,0.000120548575,0.00018514164548832923,0.0079170205,0.0077309953
2826,13972,8.992612e-05,1.517272448836593e-05,0.0115584945,0.0076108766
254,13973,3.2621516e-05,1.5947282008710317e-05,0.00014060186,0.0067254
3202,13974,0.000100922014,3.746488437172957e-05,0.012869358,0.0077189426
42,13975,1.0066519e-05,3.845798790536037e-09,3.7896032e-05,0.006662635
1414,13976,4.3168286e-05,3.7890103499194083e-07,0.007325107,0.007138452
1690,13977,7.098099e-05,3.468281283858232e-05,0.0023112982,0.007173746
318,13978,2.4353816e-05,2.5528761398163624e-06,0.00025697143,0.006748038
164,13979,1.2071171e-05,3.474460302799187e-11,0.0008633246,0.0067070476
250,13980,1.4850483e-05,1.1463638927011743e-08,0.0012902989,0.0067381985
2520,13981,0.000108142944,0.00010799615120049566,0.003233607,0.007437406
274,13982,2.0638998e-05,9.887610303849215e-07,0.0005169215,0.006734775
5748,13983,0.00019277284,0.00044032183359377086,0.017706104,0.008520506
4730,4896,0.00014360997,0.00011984051525359973,0.019282734,0.008239734
1154,4897,4.0100866e-05,1.925512151501607e-06,0.004892281,0.0070410515
638,4898,2.8939801e-05,1.4337867469293997e-05,0.0019436082,0.0068612564
526,4899,2.6510468e-05,3.898825070791645e-06,0.0009505547,0.0068197106
224,4900,1.4114423e-05,9.300045888949171e-08,0.0010267961,0.006726767
18,4901,8.865048e-06,1.20582799301161e-09,2.1488373e-05,0.0066553312
266,4902,2.5076593e-05,7.080576779117109e-06,0.00023000842,0.006731116
1150,4903,4.3033666e-05,4.044233719469048e-06,0.0038669605,0.0070396555
44,4904,1.1241996e-05,7.17177739417707e-09,3.877626e-05,0.0066629644
402,4905,2.1642847e-05,3.9274135588129866e-07,0.0009732456,0.0067825476
200,4906,1.4911975e-05,2.2599181193072582e-07,0.0008556792,0.006718563
1948,4907,7.869888e-05,6.606764509342611e-05,0.005525248,0.0072943065
2508,4908,7.148411e-05,4.55659892395488e-06,0.011890166,0.0075029456
2088,4909,6.9261376e-05,5.765585228800774e-06,0.007206654,0.0073456853
320,4910,1.8711064e-05,1.1612874573074805e-07,0.00057793054,0.006753051
110,4911,1.1171807e-05,2.548697697335456e-09,0.00039220732,0.006687488
