id,original_id,type,name,followers,num_artists,num_albums,collaborative
0,pl_37,playlist,Hits,1,55,69,false
1,pl_89,playlist,80's,1,82,85,false
2,pl_96,playlist,christmas,1,10,12,false
3,pl_177,playlist,Another,1,21,23,false
4,pl_193,playlist,🔥🔥🔥🔥,1,12,13,false
5,pl_205,playlist,running ,1,40,44,false
6,pl_301,playlist,Music From Baz Luhrmann's Film The Great Gatsby,1,18,8,false
7,pl_425,playlist,Phone,1,7,10,false
8,pl_561,playlist,chillen,1,27,36,false
9,pl_569,playlist,Relaxing Music,1,19,20,false
10,pl_599,playlist,Sunny Days,1,15,15,false
11,pl_672,playlist,Chill,1,43,56,false
12,pl_708,playlist,pop,3,38,42,false
13,pl_716,playlist,Rave,1,31,34,false
14,pl_754,playlist,L O V E ,1,51,67,false
15,pl_884,playlist,Songs I Love,2,36,38,false
16,pl_909,playlist,Awesome,1,6,10,false
17,pl_1049,playlist,a playlist,1,62,76,true
18,pl_1055,playlist,funky,1,18,21,false
19,pl_1139,playlist,Christmas ,1,7,9,false
20,pl_1206,playlist,wes,1,26,55,false
21,pl_1258,playlist,My List,1,19,25,false
22,pl_1269,playlist,mix,1,21,40,false
23,pl_1343,playlist,Stuff,1,60,68,false
24,pl_1429,playlist,Kill It!,1,24,24,false
25,pl_1467,playlist,morning.,2,19,26,false
26,pl_1533,playlist,background noise,2,9,10,false
27,pl_1640,playlist,Soul/Blues,1,26,29,false
28,pl_1655,playlist,latin mix,1,18,26,false
29,pl_1657,playlist,About Time,1,15,12,false
30,pl_1760,playlist,Calming songs,1,8,8,false
31,pl_1773,playlist,Chill,2,118,124,false
32,pl_1885,playlist,Summer of Love,1,9,18,false
33,pl_10049,playlist,yoga,1,20,24,false
34,pl_10146,playlist,Stuff,1,7,10,false
35,pl_10187,playlist,slow it down,2,59,76,false
36,pl_10260,playlist,Party,1,72,101,false
37,pl_10284,playlist,Throwbacks,1,12,14,false
38,pl_10303,playlist,Chilling,2,19,23,false
39,pl_10342,playlist,country,1,11,15,false
