feature,spearman_rho,kendall_tau
degree_x,0.15966700700381528,0.12722325195451792
degree_centrality_nx,0.15966700700381528,0.12722325195451792
degree_y,0.15966700700381528,0.12722325195451792
pagerank,0.13832713479813755,0.10998541949647028
betweenness_centrality,0.1176360224975909,0.09349570846260213
eigenvector_centrality,0.08341002478840362,0.06581379982705664
katz_centrality,0.16001900296621943,0.12693054936323636
closeness_igraph,0.08178197147921948,0.06482539914196668
eigenvector_igraph,0.08341002478840362,0.06581379982705664
clustering_igraph,,
