,nodes,buckets
0,pl_610173,1
1,pl_957636,0
2,pl_267756,1
3,pl_795663,0
4,pl_964697,1
5,pl_4512,0
6,pl_96261,0
7,pl_190435,1
8,pl_775389,1
9,pl_503709,1
10,pl_996679,0
11,pl_547197,0
12,pl_767062,1
13,pl_285727,0
14,pl_378701,1
15,pl_69817,0
16,pl_850331,1
17,pl_804171,0
18,pl_928117,1
19,pl_426624,0
20,pl_125543,1
21,pl_493341,0
22,pl_34880,0
23,pl_619821,1
24,pl_812119,1
25,pl_396103,1
26,pl_124759,0
27,pl_76094,0
28,pl_478423,1
29,pl_225179,1
30,pl_97464,0
31,pl_855825,0
32,pl_736424,1
33,pl_260573,0
34,pl_653847,1
35,pl_985898,0
36,pl_639266,1
37,pl_355345,1
38,pl_137236,1
39,pl_260887,0
40,pl_277589,1
41,pl_644293,1
42,pl_901317,0
43,pl_117513,1
44,pl_497679,0
45,pl_872983,1
46,pl_863966,1
47,pl_964912,0
48,pl_428208,1
49,pl_275259,1
50,pl_790862,1
51,pl_512600,1
52,pl_553571,0
53,pl_174278,1
54,pl_438940,1
55,pl_73822,1
56,pl_49913,0
57,pl_60493,0
58,pl_963351,0
59,pl_510906,0
60,pl_179337,0
61,pl_233335,1
62,pl_304688,1
63,pl_495922,0
64,pl_541416,0
65,pl_157291,0
66,pl_691708,1
67,pl_442151,1
68,pl_758642,1
69,pl_923303,0
70,pl_374003,1
71,pl_14481,1
72,pl_489413,1
73,pl_280904,1
74,pl_651761,0
75,pl_53166,1
76,pl_949764,0
77,pl_367528,1
78,pl_254113,0
79,pl_575691,1
80,pl_594504,0
81,pl_195457,1
82,pl_123020,0
83,pl_32918,1
84,pl_399263,1
85,pl_17312,0
86,pl_641382,0
87,pl_545982,0
88,pl_711336,1
89,pl_694141,1
90,pl_832215,0
91,pl_339051,1
92,pl_342995,0
93,pl_831179,1
94,pl_17695,1
95,pl_716324,0
96,pl_983192,0
97,pl_844302,1
98,pl_797420,1
99,pl_817468,0
100,pl_596430,1
101,pl_594898,0
102,pl_552967,1
103,pl_771890,0
104,pl_311365,1
105,pl_547687,0
106,pl_712874,1
107,pl_433154,1
108,pl_306510,0
109,pl_229077,0
110,pl_648697,0
111,pl_696242,1
112,pl_256054,0
113,pl_625639,1
114,pl_374691,0
115,pl_624504,1
116,pl_411393,1
117,pl_990150,0
118,pl_932815,1
119,pl_350927,1
120,pl_351985,0
121,pl_191319,0
122,pl_772309,1
123,pl_126283,0
124,pl_107482,0
125,pl_817978,1
126,pl_900795,0
127,pl_15650,0
128,pl_130199,1
129,pl_95359,0
130,pl_163460,0
131,pl_900066,0
132,pl_677188,0
133,pl_259381,1
134,pl_314728,0
135,pl_140381,0
136,pl_960400,0
137,pl_655249,1
138,pl_35856,1
139,pl_466974,1
140,pl_808715,0
141,pl_975624,1
142,pl_431357,1
143,pl_704463,1
144,pl_375632,0
145,pl_684441,1
146,pl_418006,0
147,pl_975234,1
148,pl_20760,1
149,pl_824912,0
150,pl_460496,1
151,pl_137642,0
152,pl_887579,0
153,pl_624457,0
154,pl_550879,0
155,pl_834313,0
156,pl_867345,0
157,pl_795012,1
158,pl_467407,0
159,pl_249667,0
160,pl_389789,0
161,pl_761238,0
162,pl_358180,0
163,pl_385306,0
