,nodes,buckets
0,pl_673720,0
1,pl_925398,0
2,pl_901697,0
3,pl_155918,0
4,pl_61532,0
5,pl_483398,0
6,pl_953401,0
7,pl_818550,0
8,pl_153733,0
9,pl_534714,0
10,pl_35766,0
11,pl_333303,0
12,pl_354913,0
13,pl_305283,0
14,pl_152738,0
15,pl_44201,0
16,pl_139561,0
17,pl_637782,0
18,pl_911565,0
19,pl_992948,0
20,pl_906546,0
21,pl_255389,0
22,pl_711453,0
23,pl_296684,0
24,pl_921812,0
25,pl_247409,0
26,pl_219628,0
27,pl_748024,0
28,pl_440612,0
29,pl_903141,0
30,pl_513239,0
31,pl_755308,0
32,pl_635750,0
33,pl_722384,0
34,pl_65554,0
35,pl_934477,0
36,pl_631683,0
37,pl_203308,0
38,pl_180161,0
39,pl_61969,0
40,pl_787544,0
41,pl_774981,0
42,pl_602069,0
43,pl_167819,0
44,pl_461906,0
45,pl_542554,0
46,pl_30130,0
47,pl_985861,0
48,pl_777240,0
49,pl_342782,0
50,pl_451077,1
51,pl_653886,0
52,pl_628637,0
53,pl_598816,0
54,pl_778639,0
55,pl_346504,0
56,pl_162849,0
57,pl_349517,0
58,pl_474821,0
59,pl_743751,0
60,pl_966066,0
61,pl_522029,0
62,pl_927782,0
63,pl_788179,0
64,pl_107139,0
65,pl_564488,0
66,pl_297281,0
67,pl_164372,0
68,pl_529634,0
69,pl_242227,0
70,pl_218470,0
71,pl_306251,0
72,pl_544948,0
73,pl_505248,0
74,pl_251395,0
75,pl_252339,0
76,pl_895642,0
77,pl_868596,0
78,pl_719305,0
79,pl_620828,0
80,pl_348932,0
81,pl_467386,0
82,pl_278448,0
83,pl_251555,0
84,pl_803826,0
85,pl_5798,0
86,pl_171247,0
87,pl_966110,0
88,pl_777305,0
89,pl_394914,0
90,pl_919527,0
91,pl_44580,0
92,pl_921533,0
93,pl_184325,0
94,pl_431858,0
95,pl_179814,0
96,pl_945790,0
97,pl_926641,0
98,pl_316495,0
99,pl_357936,0
100,pl_502433,0
101,pl_128659,0
102,pl_954983,0
103,pl_215679,0
104,pl_992017,0
105,pl_885349,0
106,pl_753659,0
107,pl_776787,0
108,pl_375757,0
109,pl_330175,0
110,pl_26451,0
111,pl_305080,0
112,pl_490970,0
113,pl_804475,0
114,pl_482117,0
115,pl_163574,0
116,pl_59175,0
117,pl_159136,0
118,pl_630807,0
119,pl_511469,0
120,pl_758052,0
121,pl_403902,0
122,pl_886224,0
123,pl_661550,0
124,pl_306148,0
125,pl_799572,0
126,pl_771581,0
127,pl_760911,0
128,pl_736446,0
129,pl_120990,0
130,pl_542152,0
131,pl_369850,0
132,pl_725101,0
133,pl_46641,0
134,pl_935181,0
135,pl_500470,0
136,pl_556136,0
137,pl_450559,0
138,pl_744870,0
139,pl_145578,0
140,pl_817975,0
141,pl_683342,0
142,pl_31552,0
143,pl_195175,1
144,pl_916573,0
145,pl_971395,0
146,pl_780168,0
147,pl_622765,0
148,pl_335319,0
149,pl_149802,0
150,pl_976036,0
151,pl_532662,0
152,pl_192837,0
153,pl_619856,0
154,pl_471850,0
155,pl_465746,0
156,pl_126244,0
157,pl_606607,0
158,pl_953314,0
159,pl_481800,0
160,pl_501462,0
161,pl_898204,0
162,pl_222739,0
163,pl_884335,0
164,pl_415161,0
165,pl_150655,0
166,pl_80779,0
167,pl_278312,0
168,pl_762715,0
169,pl_913798,0
170,pl_786587,0
171,pl_321237,0
172,pl_288922,0
173,pl_923964,0
174,pl_72855,0
175,pl_395164,0
176,pl_62364,0
177,pl_31612,0
178,pl_792763,0
179,pl_999816,0
180,pl_305914,0
181,pl_167066,0
182,pl_218636,0
183,pl_137860,0
184,pl_297392,0
