playlist_id,name,followers,num_tracks,unique_artists,unique_albums,avg_track_duration_ms,avg_track_degree,avg_track_idf,collaborative,pagerank,clustering_coefficient,betweenness_centrality,closeness_centrality,track_diversity_hhi,track_diversity_entropy,track_playlist_freq_mean,track_playlist_freq_std,track_playlist_freq_range,rare_tracks_count,rare_tracks_ratio,common_tracks_count,common_tracks_ratio
pl_516,smooth jams,13,187,0,0,258798.28877005348,17.647058823529413,6.433995856130659,0,0.0003161743078512468,0.008303130068781875,0.0010675604508656835,3.2939521100815665,0.014993572084481165,4.575257769852052,17.647058823529413,23.700978779214932,138,64,0.3422459893048128,18,0.0962566844919786
pl_765,Tangled,1038,80,0,0,185580.925,9.9875,6.584475868746871,0,0.00015279553786817722,0.013283275587253366,1.5622705706941042e-05,3.1026071597595792,0.02045579502538373,4.07960036660426,9.9875,7.967894561927888,33,32,0.4,0,0.0
pl_924,mine,1,103,0,0,230295.09708737864,28.446601941747574,5.948637774004974,0,0.00031250245288166705,0.006109743805352314,0.0011004168287305587,3.4045911427214333,0.02137613717107946,4.106265669492094,28.446601941747574,31.1843027961246,152,31,0.30097087378640774,21,0.20388349514563106
pl_1393,Class,1,52,0,0,360820.0,1.0769230769230769,8.463874177527014,0,3.340124190132275e-05,0.008463744119767002,0.0,0.9625792679975885,0.020408163265306138,3.926330664940869,1.0769230769230769,0.2664693550105965,1,52,1.0,0,0.0
pl_1494,2015,1,50,0,0,249752.6,44.16,5.208662885814728,0,0.0001894181589842056,0.013214276010670921,5.923553658310694e-06,3.3281207604357745,0.031574085013652595,3.6044969236267854,44.16,33.593666069662596,132,5,0.1,21,0.42
pl_1721,DUB,1,45,0,0,213437.04444444444,1.0444444444444445,8.48638665005802,0,3.09607359944838e-05,0.0,0.0,0.6685111741665989,0.023087369850611127,3.7911563523007006,1.0444444444444445,0.20608041101101562,1,45,1.0,0,0.0
pl_1767,Good Music,15,212,0,0,233941.40094339623,12.36320754716981,6.934356791411398,0,0.0002891598335608438,0.005408743673260381,0.0007770261535300258,2.961839242609439,0.018475929091491105,4.484544446851016,12.36320754716981,21.115030082195442,117,121,0.5707547169811321,15,0.07075471698113207
pl_1824,getting ready,10,149,0,0,207734.35570469798,31.409395973154364,5.935381505502375,0,0.0003992880568444686,0.009584656813410088,0.00026285769358753703,3.6394210846755235,0.018653754839652273,4.341495823337256,31.409395973154364,41.89840916119822,227,41,0.2751677852348993,31,0.2080536912751678
pl_1899,Classics,1,32,0,0,188506.40625,18.28125,6.281777130077274,0,8.291790544362175e-05,0.009134591329416762,0.0,3.307450496645223,0.08481846738256994,2.8423880912731945,18.28125,23.93511329485407,94,9,0.28125,4,0.125
pl_1923,Childhood Jams,23,196,0,0,196855.26020408163,11.091836734693878,6.832426317197102,0,0.00021454954736613166,0.011292939721131089,0.002863104300198442,3.62950526144826,0.0188440116489177,4.53336515382534,11.091836734693878,18.203546825675726,140,107,0.5459183673469388,9,0.04591836734693878
pl_10241,CAR,1,89,0,0,238485.8202247191,39.29213483146067,5.411821336309239,0,0.00028471112029121714,0.01005618206640888,0.0,3.2876858332165146,0.023398052941166373,4.032332712616268,39.29213483146067,40.87943419846115,211,12,0.1348314606741573,26,0.29213483146067415
pl_10799,Bryson Tiller,11,19,0,0,224100.7894736842,35.73684210526316,5.560206988543155,0,8.137933297648263e-05,0.01090238548824991,0.0,2.6217086202514976,0.14194182296151533,2.3300948477522696,35.73684210526316,46.55256463652918,169,0,0.0,3,0.15789473684210525
pl_100013,becky g,10,13,0,0,207939.61538461538,4.6923076923076925,7.653540815457881,0,3.450079065652835e-05,0.010039764360266849,0.0,1.311151003398938,0.2679387261488847,1.8192220590302666,4.6923076923076925,7.394224517352563,28,10,0.7692307692307693,0,0.0
pl_100115,Get Lucky,1,170,0,0,267102.22352941177,25.705882352941178,6.330094992804826,0,0.0004193021689166527,0.0072639489024351415,0.00147352399651599,3.467879671755759,0.017517083924616053,4.368400425984346,25.705882352941178,36.15223482780812,170,73,0.4294117647058823,33,0.19411764705882353
pl_100286,Slow Jamz,1,112,0,0,263421.70535714284,11.875,6.698979017840275,0,0.00015021878836267213,0.006720870974511337,0.00021252749949749855,3.141472028008686,0.027374074283453013,4.070316215041691,11.875,17.068206136389545,103,54,0.48214285714285715,7,0.0625
pl_100432,Writing Music,823,108,0,0,138739.84259259258,2.2222222222222223,8.023438047015556,0,7.77235296521257e-05,0.005581498754082178,0.0011771461935444311,2.1135376025823507,0.021631944444444422,4.296856581909499,2.2222222222222223,2.568806227043754,15,104,0.9629629629629629,0,0.0
pl_100628,the hills,1,5,0,0,268471.8,2.6,7.800489403725015,0,3.1083545134928836e-05,0.009949812875172074,0.0,0.7808246512985121,0.3017751479289941,1.377819508039033,2.6,1.8547236990991407,5,4,0.8,0,0.0
pl_100819,Dance!,74,10,0,0,449539.2,1.1,8.447878473360245,0,3.0327800607117277e-05,0.0,0.0,0.7726084358309919,0.10743801652892562,2.2718685126965625,1.1,0.3,1,10,1.0,0,0.0
pl_100860,🔥🔥,2,11,0,0,202057.27272727274,102.18181818181819,3.9822323665710018,0,0.0001059643855051999,0.01811324673482256,0.0,2.7447444663914946,0.1108395283747673,2.301029565272735,102.18181818181819,47.8440994401574,171,0,0.0,11,1.0
pl_101023,Latin,21,179,0,0,234438.55865921787,1.1396648044692737,8.442663448506673,0,3.935357013959638e-05,0.004306480682777131,0.0,1.6496134869769112,0.007064590542099197,5.10698544124363,1.1396648044692737,0.5861930006513821,5,178,0.994413407821229,0,0.0
pl_101516,get swole,1,42,0,0,233204.66666666666,23.142857142857142,6.104612927870076,0,0.00010293274229196907,0.010028129371986815,0.0,2.6300306597222316,0.05690401192230181,3.17351381812854,23.142857142857142,27.284717009947624,122,14,0.3333333333333333,7,0.16666666666666666
pl_103010,70s ROCK,39,25,0,0,229365.96,32.16,5.4555712162497425,0,0.00010349428111316525,0.012353426720120558,0.0,2.9616696450963174,0.06808618598549541,2.9007315757778414,32.16,26.94836544208201,112,2,0.08,4,0.16
pl_103204,Guaco,24,55,0,0,237930.18181818182,1.6363636363636365,8.370909768128906,0,3.671844725348035e-05,0.011968512370964733,0.0,1.6287033194432567,0.07851851851851854,3.396171751371113,1.6363636363636365,2.9809311319155194,19,53,0.9636363636363636,0,0.0
pl_103299,Christmas 2017,13,6,0,0,214024.0,1.5,8.218566613211562,0,3.123237026276418e-05,0.016377577041340727,0.0,0.669147091318707,0.20987654320987653,1.6769877743224173,1.5,0.7637626158259734,2,6,1.0,0,0.0
pl_103468,First Playlist,1,9,0,0,211390.77777777778,76.22222222222223,4.265206078286054,0,8.784840895211013e-05,0.008666741295302758,0.0,2.6091745654724265,0.1287261260189207,2.119426955091696,76.22222222222223,30.34899880383308,108,0,0.0,7,0.7777777777777778
pl_103675,chill,1439,17,0,0,225719.0588235294,9.823529411764707,6.575635102831358,0,4.40134434794655e-05,0.008359538538557119,0.0,2.27778281981067,0.1159955538025745,2.4708337898877546,9.823529411764707,9.684647001478815,38,8,0.47058823529411764,0,0.0
pl_104076,Always Good,28,56,0,0,230934.8392857143,10.339285714285714,6.819025391803767,0,9.836402643923331e-05,0.004807844626812039,0.0,2.543487495707776,0.04326738077979721,3.4656328180607225,10.339285714285714,12.333573207356597,50,28,0.5,1,0.017857142857142856
pl_104481,Chill 2.0,2,138,0,0,243787.0652173913,23.166666666666668,6.485134663632704,0,0.00027655279740836623,0.007711925617824476,0.0001972383272172642,3.252949613770913,0.023423096938803938,4.090089511693941,23.166666666666668,34.61372420560438,153,67,0.4855072463768116,23,0.16666666666666666
pl_104593,beach ,1,121,0,0,227948.6611570248,65.97520661157024,4.575735111413763,0,0.0006786110344199276,0.009055052030249032,0.0005148221854588339,3.8793634223505964,0.011676964997444065,4.5954978156291055,65.97520661157024,42.39453863352032,226,3,0.024793388429752067,71,0.5867768595041323
pl_104722,Summer 2017,28,82,0,0,215202.6219512195,5.146341463414634,7.998335300951592,0,7.553282865734087e-05,0.0075647943017201685,0.00039527713465862445,1.316169771787121,0.3096740863861991,2.4149173841065705,5.146341463414634,25.417548168692296,230,74,0.9024390243902439,1,0.012195121951219513
pl_104892,2014,10,85,0,0,219368.28235294117,35.28235294117647,5.786017526384695,0,0.0003031105738357264,0.007807250851801136,8.175571355434219e-05,3.32419087350223,0.024451965259954928,3.921063279703729,35.28235294117647,36.63961589983166,150,25,0.29411764705882354,24,0.2823529411764706
pl_104970, Doctor Who ,20,10,0,0,152845.0,1.0,8.517193191416238,0,3.0251999152944035e-05,0.0,0.0,0.0,0.10000000000000003,2.3025850929940455,1.0,0.0,0,10,1.0,0,0.0
pl_105485,REGUE,2,16,0,0,218639.75,12.3125,6.462657248393946,0,5.299554639249038e-05,0.019410859733446847,0.0,2.4894289315286486,0.10994872323430131,2.4136097633680307,12.3125,10.727993463364898,40,6,0.375,0,0.0
pl_105714,17,1,6,0,0,221076.33333333334,40.166666666666664,5.471763236757629,0,4.888275843960879e-05,0.009426264322228557,0.0,1.9777106575589287,0.32656118179783405,1.3221976996738067,40.166666666666664,39.342160026561274,112,2,0.3333333333333333,2,0.3333333333333333
pl_105828,Stay Strong,11,104,0,0,222791.78846153847,41.21153846153846,5.298037179522035,0,0.00039195275947029545,0.006999021328666989,0.00013408043753608667,3.501251543981724,0.01707792508964171,4.285866651850652,41.21153846153846,36.3060370792843,162,11,0.10576923076923077,36,0.34615384615384615
pl_105881,Folk You,36,101,0,0,246458.0297029703,11.277227722772277,7.057484526724099,0,0.00014426849699096224,0.008364934544721193,8.004802240960397e-07,2.8572064181628423,0.0419626291411301,3.6729190976819437,11.277227722772277,20.293450541707696,97,63,0.6237623762376238,8,0.07920792079207921
pl_105987,The Secret Life Of Walter Mitty,1,12,0,0,250192.0,8.75,7.19760628750872,0,4.1018524331414074e-05,0.008189606514763685,0.0,1.5643127839456006,0.30485260770975053,1.6381407982091303,8.75,14.266072806954735,51,9,0.75,1,0.08333333333333333
pl_106160,Get hyped,1,188,0,0,229313.46808510637,34.32446808510638,5.9515225931287175,0,0.00048738573818433306,0.013785936617229929,4.669467973893564e-06,3.7117632076970155,0.013110546334041363,4.589443666742865,34.32446808510638,41.542288595337915,164,55,0.2925531914893617,51,0.2712765957446808
pl_106256,lit ,3,45,0,0,214176.64444444445,36.15555555555556,5.547510924356351,0,0.0001388937004607199,0.019618076004398455,0.0,3.31837156957923,0.04098666895342085,3.3892816947743873,36.15555555555556,33.22379037547613,121,9,0.2,12,0.26666666666666666
pl_106284,regeton,1,17,0,0,243423.0588235294,20.0,5.958404421415814,0,7.909146080658097e-05,0.010296295620237695,0.0,2.672600299146481,0.08685121107266436,2.563110375365067,20.0,13.805369799252668,42,3,0.17647058823529413,0,0.0
pl_106715,jamz,11,64,0,0,225107.4375,101.171875,4.125927330983037,0,0.0005068920554000345,0.009814829714336646,0.0,3.550797081881829,0.020751724035121717,3.987008150906319,101.171875,57.95217712894292,226,1,0.015625,50,0.78125
pl_107106,Breeze,2,36,0,0,316356.80555555556,2.0833333333333335,8.09155147547067,0,3.610310382295846e-05,0.004154917475099602,0.0,1.2538705977694244,0.06524444444444442,3.189286006764862,2.0833333333333335,2.419538523492996,13,34,0.9444444444444444,0,0.0
pl_107244,August,12,29,0,0,338494.6206896552,3.7241379310344827,7.52738218618107,0,4.285581814289575e-05,0.006375337428048352,0.0,1.5289425721242424,0.060013717421124824,3.0539738660404554,3.7241379310344827,3.204485560134881,13,22,0.7586206896551724,0,0.0
pl_107374,Heal,12,19,0,0,281893.7894736842,17.157894736842106,7.069795536562457,0,5.957960507767558e-05,0.00662247932857454,0.0,1.6213178939548092,0.2366103353532312,1.8537667379820435,17.157894736842106,32.07928198089808,136,12,0.631578947368421,2,0.10526315789473684
pl_107482,christmas & chill,2,55,0,0,187401.85454545455,8.618181818181819,6.620585210914455,0,0.00016006585027893543,0.013713588895581344,0.004726955795320729,2.2685154663580787,0.03171678327903291,3.742858431109289,8.618181818181819,7.4357634787825715,48,21,0.38181818181818183,0,0.0
pl_107488,Indie jams,15,48,0,0,240103.16666666666,10.75,7.37113735647426,0,7.393590917890297e-05,0.008009941168466289,0.0,2.22516773989932,0.15622558740460296,2.5515341972310113,10.75,27.404759319018538,174,35,0.7291666666666666,3,0.0625
pl_107603,March 2016,37,11,0,0,259364.54545454544,1.6363636363636365,8.12840536241478,0,3.138106178958236e-05,0.004875129318030017,0.0,1.0966436189805207,0.1111111111111111,2.293118601486813,1.6363636363636365,0.7713892158398701,2,11,1.0,0,0.0
pl_107755,The Game,1,20,0,0,226513.5,31.2,6.205304545382271,0,7.291322476779109e-05,0.013268930061887748,0.0,2.1596222215026692,0.22687582182774488,1.9495947330497314,31.2,58.68185409477107,211,8,0.4,3,0.15
pl_107851,fall.,10,30,0,0,230569.23333333334,3.7333333333333334,7.919350851301591,0,5.488451049119597e-05,0.005983783056472032,0.0,1.095051493493348,0.23931760204081634,2.3357701243937616,3.7333333333333334,9.280565116892875,52,27,0.9,1,0.03333333333333333
pl_108499,PARTAY,1,8,0,0,223208.375,30.625,5.473524324378751,0,5.108339591026147e-05,0.00734493215061322,0.0,1.6537233103478384,0.2082632236568097,1.7635409067239884,30.625,24.9946869354269,77,1,0.125,2,0.25
pl_108693,Rap,11,188,0,0,249975.2340425532,64.43617021276596,4.629638975017215,0,0.0009037619275720375,0.014567895700246596,0.006288512604481681,3.9569822271460104,0.008012061629368832,4.9992897813200905,64.43617021276596,45.8479351748889,223,2,0.010638297872340425,102,0.5425531914893617
pl_109819,sleep,11,47,0,0,233122.914893617,35.851063829787236,5.927787405172557,0,0.00018354935334309605,0.009835250563975731,0.0,3.1403107843617764,0.04761052752071426,3.2337715403000726,35.851063829787236,39.88492955053632,126,16,0.3404255319148936,15,0.3191489361702128
pl_109920,December,1,20,0,0,241122.65,18.6,6.357900428314311,0,6.21293424016377e-05,0.005974221082140932,0.0,1.8286213646426046,0.15970054341542375,2.290807583235456,18.6,27.550680572356104,120,6,0.3,2,0.1
pl_109953,Orchestral,28,226,0,0,184002.90265486727,1.2920353982300885,8.363656423558298,0,8.053509612800516e-05,0.003379377886903242,5.155092643178496e-05,1.5162784570275205,0.006544379808594472,5.277688237869172,1.2920353982300885,0.8942432993279755,7,224,0.9911504424778761,0,0.0
pl_11001,Crowd Pleasers,1,59,0,0,235267.38983050847,46.66101694915254,5.057788162177818,0,0.00024275734312863585,0.010607690813630456,0.0,3.520987370259905,0.02881603650292539,3.7611423544562155,46.66101694915254,39.04348300379347,172,2,0.03389830508474576,21,0.3559322033898305
pl_11468,hype,21,73,0,0,232393.76712328766,51.84931506849315,4.935210765597585,0,0.0002841483170206748,0.01784915005509568,0.0,3.5753120462687944,0.022732785503508435,3.9884067443473414,51.84931506849315,42.106411587680356,195,3,0.0410958904109589,29,0.3972602739726027
