,nodes,buckets
0,pl_74048,1
1,pl_195175,1
2,pl_231298,0
3,pl_406589,1
4,pl_661380,0
5,pl_348896,1
6,pl_993293,0
7,pl_477040,0
8,pl_884064,0
9,pl_653126,1
10,pl_784253,0
11,pl_233069,0
12,pl_368105,1
13,pl_268803,0
14,pl_525001,1
15,pl_871182,1
16,pl_740928,1
17,pl_149837,0
18,pl_43203,0
19,pl_165878,1
20,pl_253634,0
21,pl_921812,0
22,pl_403498,1
23,pl_522579,0
24,pl_915088,0
25,pl_460219,0
26,pl_325422,1
27,pl_206764,1
28,pl_373420,1
29,pl_785400,0
30,pl_356090,1
31,pl_762135,0
32,pl_525001,1
33,pl_116422,0
34,pl_265751,1
35,pl_372309,0
36,pl_179083,0
37,pl_206764,1
38,pl_871182,1
39,pl_556257,0
40,pl_25099,0
41,pl_50173,0
42,pl_740928,1
43,pl_997373,1
44,pl_348896,1
45,pl_205946,1
46,pl_41305,0
47,pl_406589,1
48,pl_529160,1
49,pl_740928,1
50,pl_507987,1
51,pl_588998,0
52,pl_356090,1
53,pl_459156,0
54,pl_378160,1
55,pl_531141,0
56,pl_603654,0
57,pl_97819,1
58,pl_281440,1
59,pl_205946,1
60,pl_636347,0
61,pl_30345,0
62,pl_18403,1
63,pl_311178,0
64,pl_74048,1
65,pl_653126,1
66,pl_150845,0
67,pl_490673,0
68,pl_368105,1
69,pl_205946,1
70,pl_899283,1
71,pl_756316,0
72,pl_871182,1
73,pl_824527,0
74,pl_544404,1
75,pl_460594,0
76,pl_441913,0
77,pl_426069,0
78,pl_78157,0
79,pl_20349,0
80,pl_281440,1
81,pl_346581,1
82,pl_673551,0
83,pl_97819,1
84,pl_669760,0
85,pl_457676,0
86,pl_399632,0
87,pl_243712,0
88,pl_653126,1
89,pl_165878,1
90,pl_544404,1
91,pl_501580,0
92,pl_346581,1
93,pl_997373,1
94,pl_264171,0
95,pl_507987,1
96,pl_74048,1
97,pl_281440,1
98,pl_205946,1
99,pl_491548,0
100,pl_348896,1
101,pl_55968,0
102,pl_74048,1
103,pl_899283,1
104,pl_949986,0
105,pl_838874,0
106,pl_972535,1
107,pl_346581,1
108,pl_368105,1
109,pl_988203,0
110,pl_384212,0
111,pl_205946,1
112,pl_97819,1
113,pl_552740,0
114,pl_821013,1
115,pl_864916,1
116,pl_398427,0
117,pl_637128,0
118,pl_753691,0
119,pl_730667,0
120,pl_325422,1
121,pl_875570,0
122,pl_325422,1
123,pl_544404,1
124,pl_122032,0
125,pl_977094,0
126,pl_708513,1
127,pl_514806,0
128,pl_206764,1
129,pl_502660,0
130,pl_349535,0
131,pl_68239,0
132,pl_446490,0
133,pl_109940,0
134,pl_831571,0
135,pl_129500,1
136,pl_401145,0
137,pl_378160,1
138,pl_972535,1
139,pl_136185,0
