pid,name,followers,num_tracks,num_albums,collaborative
918949,Angels,1,193,182,False
704831,femme fatale,1,28,15,False
155909,lift,1,36,19,False
316835,Hymns,1,17,15,False
936756,Hotline Bling,1,18,11,False
585649,FRANÇAIS,1,37,29,False
899773,brit pop,1,55,34,False
508505,Twerk,1,70,52,False
986715,Best Music,1,16,14,False
361788,R2,1,13,11,False
501066,january 2017,1,58,44,False
19106,Country,1,121,78,True
540527,Worship,1,166,116,False
529556,miguel,1,192,85,False
825838,Smooth Jams,1,11,11,False
916817,Ruby,1,19,19,False
315675,Romantic,1,24,24,False
332375,thuggin,1,119,49,False
974586,old skewl,1,109,86,False
159260,Lose It,1,8,8,False
550526,80's,1,33,30,False
997726,Panic,1,43,28,False
117417,country,1,63,46,False
160904,let it go,1,13,13,False
987871,singing,1,7,6,False
333889,Idk,1,15,13,False
16430,beach,1,44,36,False
796470,Practice,1,31,29,False
856127,Neil,1,72,27,False
426338,Party mix,1,115,104,False
509206,Wu-Tang Clan,1,139,65,False
413801,Wo,1,18,18,False
188387,PINK!!!,1,6,5,False
106268,For My Love,1,30,23,False
121547,chill,1,25,22,False
805375,Twenty One Pilots ,1,38,16,False
608588,Hype,1,7,7,False
34684,throwback,1,43,34,False
50814,My songs ,1,46,26,False
764890,Dank ,1,177,142,False
68699,Jazz,1,20,19,False
845668,regue,1,24,15,False
782973,Tb,1,71,65,False
163226,Rap mix,1,42,12,False
167136,AnD,1,16,16,False
784341,Tunes,1,174,113,False
570440,Musica,1,61,50,False
918707,Break Up,1,18,18,False
569378,girl,1,57,54,False
505366,v i b e s ,1,22,21,False
599012,twerkout,1,101,89,False
80192,groovy,1,55,37,False
893730,Good Music,1,18,18,False
804465,A1,1,48,30,False
714388,Childish Gambino,1,60,9,False
888518,mellow,1,85,12,False
362259,sleepy ,1,8,6,False
953176,Wake Me Up,1,61,54,False
749246,Summer 2016,1,17,17,False
186100,Camp,1,27,24,False
605157,Dave Matthews,1,46,27,False
197444,Chill,1,115,81,False
1122,REPEAT ,1,104,96,False
383840,!today,1,24,24,False
478016,Happy Hour,1,20,15,False
838379,roadtrip,1,35,20,False
917284,RGTN,1,78,66,False
336353,Lit Music,1,79,72,False
766957,Chill,1,66,47,False
665256,sierra,1,33,30,False
201083,sunny days,1,183,170,False
620302,work playlist,1,48,38,False
574970,Christmas,1,222,74,False
30544,New Alternative ,1,64,63,False
392631,The classics,1,183,157,False
481492,fav songs,1,28,26,False
195766,<3,1,27,25,False
844265,EDM favorites,1,106,71,False
962419,lit🔥,1,110,96,False
911754,dance dance,1,44,44,False
110139,Country,1,93,63,False
973209,play me,1,62,60,False
145547,work,1,46,44,False
271480,Wub Wub,1,45,45,False
412459,Samples,1,62,28,False
